X,Y,Name,Lat,Lon,Q1 amp,Q1 phase,O1 amp,O1 phase,P1 amp,P1 phase,K1 amp,K1 phase,N2 amp,N2 phase,M2 amp,M2 phase,S2 amp,S2 phase,K2 amp,K2 phase
-523993.838769215,8556912.28559729,CHAPMAN I.,-12.883333333333301,143.599999999999994,0.027700000000000,129.449996999999996,0.144600000000000,155.470000999999996,0.095500000000000,190.619994999999989,0.317200000000000,195.020004000000000,0.174400000000000,255.889998999999989,0.545300000000000,285.260010000000023,0.310700000000000,252.919997999999993,0.086200000000000,252.419997999999993
-494111.444211049,8541197.15106082,HAM REEF,-13.033333333333299,143.866666666666987,0.021000000000000,97.900002000000001,0.134000000000000,151.899993999999992,0.092000000000000,188.399993999999992,0.300000000000000,193.800003000000004,0.153000000000000,247.399993999999992,0.481000000000000,280.700012000000015,0.289000000000000,246.500000000000000,0.081000000000000,243.600006000000008
-504531.402692182,8525877.70820394,JUBILEE REEF,-13.166666666666700,143.766666666666993,0.028300000000000,111.410599000000005,0.138000000000000,152.997192000000013,0.089100000000000,188.886901999999992,0.299700000000000,193.420395000000013,0.169300000000000,260.612487999999985,0.513100000000000,283.356506000000024,0.296900000000000,253.667099000000007,0.081500000000000,250.743697999999995
-526466.939136729,8525056.36632727,NIGHT I.,-13.166666666666700,143.566666666667004,0.023600000000000,134.490004999999996,0.147500000000000,153.729996000000000,0.088800000000000,189.889998999999989,0.297500000000000,194.309998000000007,0.179600000000000,264.500000000000000,0.538000000000000,283.839995999999985,0.335700000000000,250.699996999999996,0.093500000000000,244.419997999999993
-481927.762770306,8508041.19170987,UNNAMED REEF No. 3,-13.333333333333300,143.966666666667010,0.029000000000000,111.599997999999999,0.146000000000000,152.500000000000000,0.091000000000000,188.399993999999992,0.298000000000000,193.800003000000004,0.154000000000000,244.199996999999996,0.486000000000000,282.700012000000015,0.312000000000000,249.100006000000008,0.088000000000000,246.199996999999996
-510504.263064155,8490167.29098178,MORRIS I.,-13.483333333333301,143.699999999999989,0.025900000000000,125.690804000000000,0.145000000000000,156.400603999999987,0.089800000000000,188.193405000000013,0.305400000000000,193.733397999999994,0.186100000000000,259.958099000000004,0.551700000000000,283.371307000000002,0.349800000000000,256.010314999999991,0.092600000000000,255.181502999999992
-472189.775003613,8491602.43697061,1st 3 MILE OPENING,-13.483333333333301,144.050000000000011,0.032300000000000,138.059998000000007,0.147000000000000,158.550003000000004,0.095900000000000,184.649993999999992,0.321000000000000,189.059998000000007,0.186200000000000,264.750000000000000,0.471100000000000,276.989989999999977,0.297500000000000,252.169997999999993,0.083100000000000,246.710006999999990
-467925.59516442,8474965.99543116,CREECH REEF,-13.633333333333301,144.083333333333002,0.029800000000000,124.080001999999993,0.151000000000000,156.039993000000010,0.092800000000000,188.869994999999989,0.309600000000000,193.380005000000011,0.187900000000000,259.839995999999985,0.504000000000000,283.559998000000007,0.315400000000000,252.919997999999993,0.085600000000000,248.720000999999996
-507963.757466952,8471586.39083748,FIFE I.,-13.650000000000000,143.716666666667010,0.024000000000000,133.789993000000010,0.155100000000000,155.130005000000011,0.092400000000000,190.089996000000014,0.309700000000000,194.610001000000011,0.196700000000000,266.000000000000000,0.590200000000000,284.540008999999998,0.379900000000000,251.899993999999992,0.105800000000000,245.619994999999989
-494051.343279865,8442244.52293146,PELICAN I.,-13.916666666666700,143.833333333333002,0.032100000000000,129.247298999999998,0.161200000000000,156.725098000000003,0.095200000000000,191.795897999999994,0.317100000000000,195.651793999999995,0.213400000000000,261.306305000000009,0.637200000000000,286.152100000000019,0.408900000000000,255.390899999999988,0.112800000000000,252.666504000000003
-449248.645053187,8414101.5983993,FLINDERS I.,-14.183333333333300,144.233333333333007,0.028200000000000,95.680000000000007,0.144300000000000,150.779999000000004,0.090200000000000,192.910003999999986,0.302000000000000,197.320007000000004,0.205200000000000,274.040008999999998,0.545200000000000,287.299987999999985,0.389400000000000,257.470001000000025,0.108800000000000,252.009995000000004
-420454.58433193,8422628.61611493,PIPON I.,-14.116666666666699,144.500000000000000,0.030400000000000,143.559998000000007,0.154300000000000,153.970000999999996,0.096900000000000,185.149993999999992,0.324200000000000,189.559998000000007,0.206700000000000,270.350006000000008,0.515600000000000,279.959991000000002,0.326600000000000,254.589996000000014,0.091200000000000,249.130005000000011
-422066.899394852,8416977.95229786,CAPE MELVILLE,-14.166666666666700,144.483333333333007,0.033600000000000,150.910003999999986,0.145400000000000,152.009995000000004,0.088400000000000,188.369994999999989,0.295900000000000,192.779999000000004,0.190500000000000,262.760010000000023,0.518100000000000,282.329987000000017,0.309400000000000,252.339996000000014,0.086400000000000,246.880005000000011
-396112.978110549,8403013.19470337,MUNRO REEF,-14.300000000000001,144.716666666667010,0.032600000000000,139.220000999999996,0.160600000000000,153.389998999999989,0.101700000000000,195.300003000000004,0.306700000000000,195.300003000000004,0.189400000000000,265.359984999999995,0.545400000000000,281.350006000000008,0.336700000000000,252.449996999999996,0.091500000000000,252.449996999999996
-380672.980826304,8377492.65907863,LEGGATT I.,-14.533333333333299,144.849999999999994,0.028700000000000,129.249892999999986,0.151100000000000,156.151702999999998,0.090900000000000,189.501601999999991,0.304500000000000,194.021805000000001,0.195800000000000,258.542114000000026,0.558200000000000,281.654510000000016,0.343300000000000,254.907897999999989,0.095600000000000,248.616805999999997
-457260.145726598,8385813.29427619,NORMANBY R.,-14.433333333333300,144.150000000000006,0.023200000000000,103.669998000000007,0.134300000000000,148.570007000000004,0.091100000000000,190.380005000000011,0.304800000000000,194.789993000000010,0.226700000000000,260.029998999999975,0.644600000000000,285.049987999999985,0.425200000000000,255.759995000000004,0.118700000000000,250.300003000000004
-299089.903967696,8376570.3409174,CARTER REEF,-14.566666666666700,145.599999999999994,0.037400000000000,170.610001000000011,0.170200000000000,152.470000999999996,0.095100000000000,188.839996000000014,0.320200000000000,193.460006999999990,0.191600000000000,264.549987999999985,0.503400000000000,279.339995999999985,0.305300000000000,248.300003000000004,0.084900000000000,246.220000999999996
-315059.142355307,8366745.62963774,LIZARD I. (QLD),-14.650000000000000,145.449999999999989,0.031200000000000,149.490004999999996,0.140500000000000,153.529999000000004,0.093400000000000,189.990004999999996,0.310900000000000,193.809998000000007,0.168400000000000,264.100006000000008,0.531700000000000,276.040008999999998,0.328500000000000,249.600006000000008,0.090400000000000,246.520004000000000
-352722.70080399,8356147.99400153,E. PETHERBRIDGE I.,-14.733333333333301,145.099999999999994,0.017000000000000,140.500000000000000,0.146000000000000,153.699996999999996,0.097000000000000,189.800003000000004,0.317000000000000,195.199996999999996,0.139000000000000,263.200012000000015,0.546000000000000,283.299987999999985,0.364000000000000,248.699996999999996,0.102000000000000,245.800003000000004
-309261.804975151,8355783.16968846,N. DIRECTION I.,-14.750000000000000,145.500000000000000,0.020000000000000,133.199996999999996,0.145000000000000,153.100006000000008,0.093000000000000,188.000000000000000,0.306000000000000,193.399993999999992,0.132000000000000,258.500000000000000,0.510000000000000,281.600006000000008,0.320000000000000,245.100006000000008,0.090000000000000,242.199996999999996
-328375.888217701,8332812.80248899,CAPE FLATTERY,-14.949999999999999,145.316666666667004,0.029100000000000,145.789993000000010,0.141200000000000,152.830002000000007,0.096700000000000,186.690001999999993,0.321700000000000,190.509995000000004,0.177400000000000,263.899993999999992,0.552800000000000,276.239989999999977,0.343800000000000,249.699996999999996,0.094600000000000,246.619994999999989
-290332.488527011,8330388.98561247,RIBBON REEF No. 9,-14.983333333333301,145.666666666666998,0.026300000000000,121.290001000000004,0.150500000000000,152.630005000000011,0.097300000000000,180.389998999999989,0.318800000000000,185.809998000000007,0.143000000000000,253.500000000000000,0.500300000000000,275.540008999999998,0.309900000000000,250.899993999999992,0.087100000000000,248.020004000000000
-320636.001579192,8318201.68860467,LOW WOODED I.,-15.083333333333300,145.383333333333013,0.000000000000000,0.000000000000000,0.152000000000000,153.000000000000000,0.125000000000000,195.000000000000000,0.375000000000000,195.000000000000000,0.186000000000000,247.000000000000000,0.543000000000000,274.000000000000000,0.329000000000000,246.000000000000000,0.088000000000000,246.000000000000000
-325528.177191463,8303149.74763019,CAPE BEDFORD,-15.216666666666701,145.333333333333002,0.014000000000000,140.899993999999992,0.137000000000000,156.199996999999996,0.090000000000000,186.500000000000000,0.296000000000000,191.899993999999992,0.122000000000000,259.000000000000000,0.486000000000000,280.700012000000015,0.311000000000000,244.399993999999992,0.088000000000000,241.500000000000000
-333545.05292121,8274957.03624649,COOKTOWN,-15.466666666666701,145.250000000000000,0.025200000000000,126.199996999999996,0.145500000000000,153.199996999999996,0.093300000000000,186.699996999999996,0.309800000000000,191.100006000000008,0.175700000000000,253.500000000000000,0.533900000000000,277.399993999999992,0.325300000000000,248.000000000000000,0.090200000000000,247.500000000000000
-275153.214696269,8254702.2476113,CRUISER PASS,-15.666666666666700,145.783333333332990,0.022000000000000,108.690002000000007,0.152500000000000,150.729996000000000,0.098000000000000,179.490004999999996,0.321200000000000,184.910003999999986,0.142700000000000,249.699996999999996,0.488700000000000,273.239989999999977,0.295200000000000,247.800003000000004,0.083000000000000,244.919997999999993
-309066.617076645,8246078.32739513,EAST HOPE I.,-15.733333333333301,145.466666666667010,0.032100000000000,141.740004999999996,0.166600000000000,150.220000999999996,0.097500000000000,185.210006999999990,0.324300000000000,190.660003999999986,0.176500000000000,266.950012000000015,0.533600000000000,269.570006999999976,0.311600000000000,238.669997999999993,0.085200000000000,237.100006000000008
-308969.280049336,8194008.92093917,BAILAY CREEK,-16.199999999999999,145.449999999999989,0.000000000000000,0.000000000000000,0.152000000000000,151.000000000000000,0.098000000000000,198.000000000000000,0.296000000000000,199.000000000000000,0.149000000000000,266.000000000000000,0.503000000000000,286.000000000000000,0.293000000000000,250.000000000000000,0.079000000000000,251.000000000000000
-295660.704982229,8174044.44163007,LOW ISLETS,-16.383333333333301,145.566666666667004,0.039200000000000,116.900002000000001,0.145000000000000,151.699996999999996,0.086800000000000,192.100006000000008,0.299200000000000,192.800003000000004,0.205700000000000,257.100006000000008,0.503000000000000,273.200012000000015,0.275100000000000,246.100006000000008,0.085300000000000,237.199996999999996
-50335.861355771,8172418.959426,HOLMES REEF,-16.466666666666701,147.849999999999994,0.029300000000000,136.020004000000000,0.144000000000000,149.470000999999996,0.091200000000000,181.820007000000004,0.303300000000000,185.610001000000011,0.143200000000000,264.179993000000024,0.501400000000000,268.529998999999975,0.288100000000000,239.839996000000014,0.079200000000000,236.929992999999996
-305999.792303712,8162502.72500153,PORT DOUGLAS,-16.483333333333299,145.466666666667010,0.026800000000000,127.472297999999995,0.150600000000000,152.878493999999989,0.091500000000000,185.159805000000006,0.307600000000000,190.344803000000013,0.184100000000000,254.136703000000011,0.561100000000000,275.642395000000022,0.330900000000000,246.478302000000014,0.091500000000000,244.545197000000002
-283476.751534815,8135451.76157033,PALM COVE,-16.733333333333299,145.666666666666998,0.024100000000000,118.330001999999993,0.157800000000000,152.100006000000008,0.088000000000000,180.139998999999989,0.293800000000000,183.880005000000011,0.171400000000000,250.130005000000011,0.556500000000000,275.000000000000000,0.315400000000000,242.169997999999993,0.086700000000000,239.080002000000007
-250023.092621456,8151526.35109176,MICHAELMAS CAY,-16.600000000000001,145.983333333333007,0.029200000000000,120.199996999999996,0.148600000000000,150.300003000000004,0.089600000000000,188.199996999999996,0.308900000000000,188.800003000000004,0.181100000000000,260.000000000000000,0.502900000000000,270.700012000000015,0.295100000000000,242.100006000000008,0.091500000000000,233.199996999999996
-221090.708598258,8143240.9238006,EUSTON REEF,-16.683333333333302,146.250000000000000,0.030000000000000,127.150002000000001,0.153600000000000,146.929992999999996,0.094000000000000,181.520004000000000,0.309300000000000,183.669997999999993,0.177700000000000,245.679992999999996,0.496000000000000,263.730010999999990,0.316100000000000,234.539993000000010,0.089600000000000,234.070007000000004
-270208.002230301,8115495.65617504,CAIRNS,-16.916666666666700,145.783333333332990,0.027600000000000,128.665207000000009,0.152900000000000,153.692397999999997,0.093800000000000,187.082305999999988,0.312400000000000,190.931792999999999,0.190700000000000,255.267302999999998,0.578700000000000,276.543488000000025,0.340300000000000,247.919005999999996,0.094000000000000,245.251099000000011
-271719.953794612,8108005.4446608,SWALLOWS LANDING,-16.983333333333299,145.766666666666993,0.026000000000000,131.020004000000000,0.179000000000000,151.360001000000011,0.102800000000000,192.949996999999996,0.342300000000000,196.770004000000000,0.191500000000000,253.970000999999996,0.665400000000000,277.690001999999993,0.382800000000000,247.550003000000004,0.105400000000000,244.539993000000010
-251220.957463494,8134764.53882782,GREEN I.,-16.750000000000000,145.966666666667010,0.024900000000000,123.410004000000001,0.153600000000000,152.589996000000014,0.086800000000000,183.139998999999989,0.289500000000000,186.880005000000011,0.173700000000000,250.199996999999996,0.543100000000000,275.420012999999983,0.313700000000000,243.220000999999996,0.086200000000000,240.130005000000011
-246985.970752146,8116338.3789087,FITZROY I.,-16.916666666666700,146.000000000000000,0.027700000000000,130.259995000000004,0.161300000000000,150.720000999999996,0.093900000000000,181.639998999999989,0.312600000000000,185.460006999999990,0.189100000000000,248.449996999999996,0.546800000000000,274.079987000000017,0.303400000000000,241.300003000000004,0.083500000000000,238.289993000000010
-232569.850730698,8113134.21731529,SUDBURY CAY,-16.949999999999999,146.133333333333013,0.031500000000000,127.889999000000003,0.151300000000000,149.880005000000011,0.086300000000000,187.770004000000000,0.309400000000000,187.800003000000004,0.183000000000000,256.420012999999983,0.534000000000000,272.880004999999983,0.325400000000000,247.380005000000011,0.090500000000000,238.330002000000007
-245984.477425537,8088509.18377726,HIGH I.,-17.166666666666700,146.000000000000000,0.030500000000000,110.199996999999996,0.150400000000000,154.199996999999996,0.088900000000000,187.800003000000004,0.306400000000000,188.399993999999992,0.202400000000000,251.600006000000008,0.536100000000000,273.100006000000008,0.293500000000000,241.000000000000000,0.091000000000000,232.100006000000008
-235085.23295212,8083329.37894795,RUSSELL I.,-17.216666666666701,146.099999999999994,0.022100000000000,113.639999000000003,0.139200000000000,153.330002000000007,0.088300000000000,185.820007000000004,0.293600000000000,189.610001000000011,0.194400000000000,249.759995000000004,0.474900000000000,269.950012000000015,0.344300000000000,233.580002000000007,0.094700000000000,230.669997999999993
-200201.910581173,8054851.47404573,PEART REEF,-17.483333333333299,146.416666666666998,0.033000000000000,114.599997999999999,0.144000000000000,151.399993999999992,0.094000000000000,184.100006000000008,0.314000000000000,189.000000000000000,0.214000000000000,252.100006000000008,0.530000000000000,275.200012000000015,0.340000000000000,241.600006000000008,0.093000000000000,239.000000000000000
-191116.317054835,8049596.95262736,NATHAN REEF,-17.533333333333299,146.500000000000000,0.039000000000000,118.199996999999996,0.148000000000000,151.100006000000008,0.088000000000000,185.300003000000004,0.294000000000000,190.199996999999996,0.209000000000000,249.399993999999992,0.512000000000000,273.600006000000008,0.305000000000000,242.600006000000008,0.083000000000000,240.000000000000000
-231761.624291147,8040731.23293561,MOURILYAN HARBOUR,-17.600000000000001,146.116666666666987,0.028500000000000,128.325195000000008,0.155500000000000,153.509094000000005,0.094900000000000,185.091994999999997,0.315600000000000,190.039794999999998,0.188200000000000,255.612198000000006,0.578500000000000,277.328399999999988,0.333600000000000,248.534500000000008,0.092000000000000,246.173203000000001
-231422.297061866,8031457.00075511,COWLEY BEACH,-17.683333333333302,146.116666666666987,0.023800000000000,123.190002000000007,0.150300000000000,150.229996000000000,0.093200000000000,183.089996000000014,0.310200000000000,188.110001000000011,0.180400000000000,255.699996999999996,0.594500000000000,276.640015000000005,0.351800000000000,244.199996999999996,0.097000000000000,241.919997999999993
-204363.719242954,8021292.58544167,EDDY REEF,-17.783333333333299,146.366666666666987,0.024100000000000,129.919997999999993,0.156900000000000,153.160003999999986,0.097400000000000,185.899993999999992,0.322900000000000,190.949996999999996,0.155000000000000,251.389998999999989,0.598300000000000,274.359984999999995,0.345200000000000,254.960006999999990,0.094500000000000,252.460006999999990
-227663.044641386,8026022.88095363,STH BARNARD I.,-17.733333333333299,146.150000000000006,0.030600000000000,111.599997999999999,0.156100000000000,149.899993999999992,0.092100000000000,183.100006000000008,0.308100000000000,188.399993999999992,0.173000000000000,256.299987999999985,0.591700000000000,274.399993999999992,0.323400000000000,247.800003000000004,0.090900000000000,246.100006000000008
-166760.803569366,8013316.92232359,UNNAMED REEF No. 1,-17.866666666666699,146.716666666667010,0.029800000000000,120.150002000000001,0.156600000000000,151.389998999999989,0.095700000000000,182.360001000000011,0.319400000000000,187.410003999999986,0.183400000000000,247.139998999999989,0.555000000000000,273.799987999999985,0.323600000000000,245.759995000000004,0.086700000000000,241.070007000000004
17100.552270715,8037166.45396482,FLINDERS REEF,-17.699999999999999,148.449999999999989,0.030900000000000,120.099997999999999,0.151700000000000,147.779999000000004,0.095100000000000,180.369994999999989,0.310700000000000,184.339996000000014,0.181000000000000,246.330002000000007,0.511100000000000,268.799987999999985,0.297100000000000,242.000000000000000,0.081600000000000,239.059998000000007
-228619.571558465,8003700.43871701,DUNK I.,-17.933333333333302,146.133333333333013,0.029400000000000,119.489998000000000,0.157200000000000,153.600006000000008,0.098900000000000,183.199996999999996,0.328300000000000,188.199996999999996,0.213700000000000,253.190001999999993,0.621800000000000,277.410004000000015,0.353900000000000,246.529999000000004,0.097000000000000,244.000000000000000
-153600.106025064,7991500.6276439,BARNETT PATCHES,-18.066666666666698,146.833333333333002,0.027700000000000,102.500000000000000,0.157900000000000,146.339996000000014,0.097500000000000,185.860001000000011,0.328300000000000,190.149993999999992,0.179300000000000,253.240004999999996,0.547300000000000,277.109984999999995,0.320300000000000,243.380005000000011,0.085200000000000,240.979996000000000
-225877.617196574,7977800.31568416,GOOLD I.,-18.166666666666700,146.150000000000006,0.028300000000000,118.739998000000000,0.163100000000000,153.330002000000007,0.102400000000000,183.080002000000007,0.339800000000000,188.080002000000007,0.229600000000000,253.059998000000007,0.667000000000000,277.299987999999985,0.380800000000000,246.240004999999996,0.104400000000000,243.710006999999990
-237864.42061222,7966201.03845065,CARDWELL,-18.266666666666701,146.033333333332990,0.028800000000000,131.000000000000000,0.158300000000000,155.699996999999996,0.097900000000000,189.000000000000000,0.337700000000000,192.300003000000004,0.235800000000000,260.000000000000000,0.745100000000000,283.700012000000015,0.434700000000000,255.800003000000004,0.114100000000000,251.899993999999992
-165306.067836503,7970698.08070332,BRITOMART REEF,-18.250000000000000,146.716666666667010,0.032700000000000,131.089996000000014,0.162700000000000,151.929992999999996,0.095400000000000,181.789993000000010,0.329100000000000,188.910003999999986,0.220100000000000,259.899993999999992,0.615700000000000,277.940001999999993,0.367900000000000,246.699996999999996,0.111000000000000,243.919997999999993
-133566.291493426,7975474.6316091,PITH REEF,-18.216666666666701,147.016666666666993,0.029900000000000,119.550003000000004,0.156200000000000,149.089996000000014,0.100800000000000,183.929992999999996,0.338700000000000,188.539993000000010,0.171600000000000,250.589996000000014,0.548700000000000,272.750000000000000,0.306700000000000,242.130005000000011,0.083600000000000,238.509995000000004
-148558.486448503,7947157.65098502,RIB REEF,-18.466666666666701,146.866666666666987,0.031300000000000,129.809998000000007,0.171800000000000,155.589996000000014,0.105800000000000,183.899993999999992,0.355200000000000,188.479996000000000,0.222700000000000,259.579987000000017,0.681100000000000,281.269989000000010,0.426700000000000,244.710006999999990,0.116700000000000,241.179992999999996
