Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
26,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
27,0.0125,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
28,0.0125,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
29,0.0125,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
30,0.0125,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
31,0.025,0.0016416139240506332,0.0125,0.00015822784810126583,1.3217598434714294e-144,1.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
32,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
33,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
34,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
35,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
36,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
37,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
38,0.0125,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
39,0.025,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
40,0.05,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
41,0.025,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
42,0.0125,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
43,0.0125,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
44,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
45,0.025,0.0016416139240506332,0.0,0.0,2.1432749197752287e-09,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
46,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
47,0.037500000000000006,0.0016416139240506332,0.0,0.0,2.1432749197752287e-09,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
48,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
